sentences_ref,words_ref,sentences_intro,words_intro,sentences_mat,words_mat,sentences_conc,words_conc
12,130,16,383,23,351,35,737
12,200,15,426,124,2852,6,133
20,308,11,315,56,1055,119,2423
11,242,27,683,69,1280,183,3610
7,111,37,744,337,3827,101,1816
9,191,20,544,42,1053,30,809
10,155,25,559,122,2048,156,3430
11,276,55,1276,275,2150,206,5505
9,229,13,362,68,1533,48,1149
13,153,29,479,28,457,149,1969
12,273,29,680,46,786,52,1373
14,265,29,574,34,729,83,1870
8,156,27,698,61,1211,159,3183
7,153,16,477,23,473,88,2656
21,245,18,288,25,312,70,1400
10,245,19,477,84,1726,166,3231
15,282,20,471,85,1503,69,1487
12,257,15,423,75,1316,64,1717
7,147,21,532,50,731,151,1906
11,210,13,353,44,870,201,1477
17,284,31,722,42,687,127,2106
9,140,11,201,10,106,65,998
10,189,11,365,77,1737,62,1848
10,223,63,1672,110,2053,248,3903
7,104,11,239,46,1304,124,3579
12,255,27,640,74,1122,110,2817
8,207,27,833,52,1045,172,3403
9,213,19,532,60,966,74,1668
14,252,33,887,60,1374,272,4733
14,206,28,494,66,850,85,1568
12,256,18,398,93,1570,250,4154
12,227,23,528,38,1108,71,1863
7,157,17,384,54,1061,11,185
8,221,13,417,125,2501,176,4183
14,266,21,447,45,791,123,2847
10,146,51,1130,47,950,204,1832
8,204,8,213,46,905,45,1372
14,245,17,333,54,816,102,2214
11,214,22,705,46,934,77,1598
11,259,22,556,23,523,53,1625
7,125,20,460,56,894,123,2721
11,280,30,734,105,1935,103,2515
7,167,35,1100,34,439,66,1930
8,179,21,571,39,696,230,4503
14,251,30,713,55,1068,49,949
9,162,27,621,23,426,160,3311
12,244,16,432,39,803,67,1626
10,145,35,741,53,928,65,1352
12,240,20,433,131,2079,131,2207
9,170,4,58,14,166,5,95
13,270,27,589,64,1192,65,1248
10,183,32,710,97,1543,102,1930
9,182,24,499,14,221,202,2826
1,1,19,372,46,998,90,1551
9,185,16,346,31,778,64,1680
18,235,16,274,12,182,62,1104
11,249,17,382,37,482,59,1482
12,257,14,455,44,1192,72,1326
9,181,15,336,107,1657,67,1141
9,257,10,319,18,369,58,1758
16,210,31,616,49,744,94,1745
11,260,19,468,57,1054,142,3513
12,189,44,945,59,1225,109,2384
14,206,29,644,249,4161,15,283
10,207,20,534,112,2061,126,3122
7,126,24,606,60,1323,70,1691
9,124,16,227,64,883,37,783
12,255,36,820,50,813,151,2968
11,255,3,28,49,1037,55,1540
8,182,21,484,90,1598,6,136
8,151,19,578,25,474,108,2795
13,243,12,244,29,506,81,1690
10,230,20,467,69,1241,230,4175
10,239,21,515,29,438,379,2067
14,228,12,237,61,1500,3,79
7,196,36,996,55,930,45,832
19,235,31,634,107,1529,45,876
10,205,14,405,43,940,66,1824
11,258,7,164,66,1620,7,160
18,279,26,603,56,732,94,2035
9,129,15,382,69,1183,654,2876
8,170,16,469,56,1121,87,1298
27,502,36,683,66,962,106,2845
9,160,37,968,76,1087,152,3383
17,326,18,490,39,773,56,1334
12,231,27,659,87,1485,355,6963
8,163,20,489,42,742,50,1086
7,120,7,126,80,2247,10,265
12,257,8,164,4,75,50,1175
9,248,30,695,44,1080,10,265
8,150,17,399,32,641,107,2579
21,159,65,549,104,1584,701,5230
12,270,24,708,44,683,44,1039
12,234,19,468,54,1257,62,1396
10,195,28,695,49,934,117,3021
7,189,73,1296,34,583,173,2544
9,140,21,620,70,1469,41,998
11,251,36,792,58,1088,32,800
5,50,7,125,18,283,29,497
9,195,23,606,118,2766,8,126
15,273,19,457,42,665,59,1651
9,217,29,817,56,1060,171,3574
8,194,27,702,83,1430,114,2303
16,225,39,751,12,111,63,1064
18,405,63,1663,61,1272,114,2462
11,170,26,686,8,121,63,1538
11,267,19,409,48,833,191,3004
12,191,16,350,49,1057,116,2126
12,209,12,297,49,968,52,1379
10,210,18,308,108,1784,348,999
12,170,24,534,38,551,149,2135
14,254,19,497,41,541,146,2630
11,202,18,398,29,459,66,1494
14,244,13,272,54,975,72,1452
15,262,32,747,60,942,86,1846
12,219,25,650,82,1326,19,1251
11,212,33,849,3,66,77,1681
7,160,21,540,56,1324,111,2390
7,153,23,564,162,3133,130,3660
9,253,25,925,73,1707,99,3176
9,227,37,904,222,3766,48,802
7,173,17,470,99,2210,100,2471
10,206,31,635,84,1457,99,2171
8,150,14,371,87,1920,86,2009
13,240,20,407,383,2080,56,1364
9,133,20,461,66,1097,91,2248
12,270,3,56,8,103,3,118
7,139,25,641,113,1694,168,3572
